<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
BBVA.MC,20121213,6.706,6.752,6.667,6.752,28535475
BBVA.MC,20121212,6.642,6.7,6.628,6.697,37661144
BBVA.MC,20121211,6.497,6.64,6.478,6.62,35141738
BBVA.MC,20121210,6.499,6.506,6.353,6.506,42835487
BBVA.MC,20121207,6.643,6.67,6.545,6.57,26854820
BBVA.MC,20121206,6.62,6.67,6.544,6.633,34025510
BBVA.MC,20121205,6.59,6.627,6.531,6.59,44010188
BBVA.MC,20121204,6.484,6.564,6.467,6.552,30349441
BBVA.MC,20121203,6.545,6.6,6.467,6.5,24933490
BBVA.MC,20121130,6.505,6.55,6.48,6.524,30643995
BBVA.MC,20121129,6.42,6.548,6.41,6.548,43323680
BBVA.MC,20121128,6.372,6.405,6.268,6.351,23036051
BBVA.MC,20121127,6.47,6.49,6.355,6.413,22651545
BBVA.MC,20121126,6.45,6.46,6.386,6.42,15020476
BBVA.MC,20121123,6.44,6.46,6.361,6.46,15667280
BBVA.MC,20121122,6.361,6.43,6.332,6.43,14108150
BBVA.MC,20121121,6.259,6.365,6.216,6.355,16507807
BBVA.MC,20121120,6.234,6.3,6.192,6.3,13587346
BBVA.MC,20121119,6.174,6.279,6.087,6.275,27207922
BBVA.MC,20121116,6.249,6.298,6.113,6.113,37234000
BBVA.MC,20121115,6.17,6.325,6.155,6.271,18587796
BBVA.MC,20121114,6.223,6.321,6.137,6.235,24034768
BBVA.MC,20121113,5.955,6.24,5.942,6.226,20765327
BBVA.MC,20121112,6.08,6.08,5.99,6.02,13364894
BBVA.MC,20121109,6.09,6.135,5.915,6.09,29708670
BBVA.MC,20121108,6.126,6.175,6.041,6.09,19904991
BBVA.MC,20121107,6.396,6.409,6.07,6.094,32413333
BBVA.MC,20121106,6.332,6.364,6.275,6.329,19152493
BBVA.MC,20121105,6.419,6.454,6.29,6.332,42265240
BBVA.MC,20121102,6.45,6.555,6.373,6.502,20150656
BBVA.MC,20121101,6.36,6.52,6.336,6.453,21161544
BBVA.MC,20121031,6.32,6.47,6.302,6.437,37952931
BBVA.MC,20121030,6.265,6.322,6.216,6.322,17356201
BBVA.MC,20121029,6.246,6.28,6.177,6.231,17376812
BBVA.MC,20121026,6.16,6.285,6.07,6.285,32727871
BBVA.MC,20121025,6.27,6.334,6.207,6.251,17530861
BBVA.MC,20121024,6.29,6.338,6.156,6.298,24136012
BBVA.MC,20121023,6.37,6.389,6.209,6.293,147793036
BBVA.MC,20121022,6.45,6.495,6.35,6.39,18936725
BBVA.MC,20121019,6.57,6.614,6.411,6.448,102250652
BBVA.MC,20121018,6.648,6.707,6.54,6.65,39178347
BBVA.MC,20121017,6.462,6.664,6.433,6.664,53736753
BBVA.MC,20121016,6.019,6.33,5.995,6.312,40235568
BBVA.MC,20121015,5.933,6.0,5.9,5.956,54062312
BBVA.MC,20121012,5.974,6.114,5.93,5.93,23991661
BBVA.MC,20121011,5.872,6.059,5.815,6.018,40271421
BBVA.MC,20121010,5.998,6.035,5.905,5.922,115682478
BBVA.MC,20121009,6.172,6.185,6.007,6.021,54092432
BBVA.MC,20121008,6.166,6.215,6.151,6.165,71089102
BBVA.MC,20121005,6.049,6.22,6.032,6.22,92590108
BBVA.MC,20121004,6.091,6.12,6.0,6.024,156955515
BBVA.MC,20121003,6.129,6.136,6.015,6.06,60489579
BBVA.MC,20121002,6.028,6.215,6.01,6.14,195935357
BBVA.MC,20121001,6.047,6.12,6.012,6.084,359136531
