<Ticker>,<DTYYYMMDD>,<Open>,High,<Low>,<close>,<Volume>
LRCX,20170428,146.5,147.16000400000001,144.53999299999998,144.850006,2049700
LRCX,20170427,146.279999,148.0,146.100006,147.0,1589800
LRCX,20170426,145.570007,146.110001,144.0,145.509995,1907800
LRCX,20170425,143.71000700000002,145.96000700000002,142.509995,145.759995,2400000
LRCX,20170424,142.580002,142.880005,141.130005,142.509995,2218700
LRCX,20170421,139.149994,140.229996,137.550003,139.979996,3260900
LRCX,20170420,137.0,139.71000700000002,136.41000400000001,139.360001,3145900
LRCX,20170419,133.860001,136.399994,132.5,136.169998,5801000
LRCX,20170418,126.779999,127.809998,125.970001,127.43,2110900
LRCX,20170417,125.739998,127.459999,125.739998,127.33000200000001,1173700
LRCX,20170413,125.800003,127.279999,124.910004,125.16999799999999,1362900
LRCX,20170412,127.459999,127.66999799999999,125.510002,126.160004,1290900
LRCX,20170411,128.360001,128.779999,125.33000200000001,127.230003,1566900
LRCX,20170410,129.070007,129.75,128.350006,128.800003,1026400
LRCX,20170407,128.830002,129.820007,128.199997,129.300003,695700
LRCX,20170406,127.690002,128.91000400000001,126.839996,128.860001,1310000
LRCX,20170405,129.5,130.130005,127.66999799999999,127.769997,1375300
LRCX,20170404,127.980003,128.929993,127.639999,128.889999,996000
LRCX,20170403,128.619995,128.979996,127.550003,128.419998,1149000
LRCX,20170331,128.28999299999998,129.0,128.009995,128.360001,1275600
LRCX,20170330,127.900002,129.149994,127.900002,128.699997,926700
LRCX,20170329,127.75,128.0,127.160004,127.879997,966800
LRCX,20170328,127.489998,128.550003,127.139999,127.75,1239300
LRCX,20170327,126.019997,128.389999,125.650002,127.800003,1343100
LRCX,20170324,127.160004,129.350006,126.720001,127.470001,1998300
LRCX,20170323,125.25,126.279999,124.82,125.349998,1162300
LRCX,20170322,124.08000200000001,125.43,123.959999,125.400002,1222900
LRCX,20170321,127.260002,127.639999,124.0,124.269997,1854500
LRCX,20170320,126.639999,127.660004,126.33000200000001,126.860001,1413400
LRCX,20170317,126.870003,127.440002,126.160004,126.480003,1971800
