<Ticker>,<DTYYYMMDD>,<Open>,High,<Low>,<close>,<Volume>
NFLX,20140728,60.315716,60.844283999999995,59.78856999999999,60.665714,11960900
NFLX,20140725,60.714287,61.167141,60.057143999999994,60.265713,11610200
NFLX,20140724,61.352856,61.458572,59.860001000000004,60.76857,18621400
NFLX,20140723,61.487143999999994,62.201427,60.93,61.128570999999994,17267600
NFLX,20140722,63.282856,63.524283999999994,60.722857999999995,61.584286,57174600
NFLX,20140721,64.52714499999999,65.35714,63.945713,64.564285,34671000
NFLX,20140718,62.972857999999995,63.471428,62.25,63.452858,11760700
NFLX,20140717,63.325714000000005,64.121429,62.612857999999996,62.765713,13266400
NFLX,20140716,64.867142,65.099998,63.342856999999995,63.491428000000006,13438600
NFLX,20140715,64.38428499999999,64.48143,63.181427,64.155716,13505800
NFLX,20140714,63.328571,65.068573,62.714287,64.654289,17433500
NFLX,20140711,63.065716,63.447143999999994,62.450001,62.851429,14219100
NFLX,20140710,62.055714,63.455715000000005,61.171429,62.650002,24388700
NFLX,20140709,63.740002000000004,64.191429,62.818573,63.285713,21011200
NFLX,20140708,65.664284,65.85714,62.754284,63.578571,26182800
NFLX,20140707,67.442856,67.461426,65.714287,65.802856,18296600
NFLX,20140703,67.165718,67.517143,66.98143,67.478569,11359600
NFLX,20140702,67.639999,67.98143,66.577141,66.677139,17309600
NFLX,20140701,65.175713,67.668571,65.042854,67.585716,37995300
NFLX,20140630,63.265713,63.83857,62.812858999999996,62.942856000000006,10588900
NFLX,20140627,62.617142,63.312858999999996,62.485714,63.154284999999994,15587600
NFLX,20140626,62.970001,63.162856999999995,62.39285699999999,62.80143,14237300
NFLX,20140625,62.14285699999999,63.537144,61.904284999999994,63.458572,15752100
NFLX,20140624,62.578571,64.27714499999999,62.214287,62.337143000000005,20367200
NFLX,20140623,62.765713,63.122856000000006,62.221428,62.78856999999999,10672900
NFLX,20140620,63.028572,63.26857,62.139998999999996,62.882858,13222300
NFLX,20140619,64.204285,64.21285999999999,62.580002,63.055714,17308200
NFLX,20140618,63.381428,64.402855,62.89285699999999,64.097145,18786600
NFLX,20140617,62.577144999999994,64.012856,62.53856999999999,63.378570999999994,28996100
NFLX,20140616,60.932857999999996,61.601429,60.48857099999999,61.465714,12506200
NFLX,20140613,60.42856999999999,61.128570999999994,59.601429,61.101429,15778700
NFLX,20140612,61.295715,61.464287,60.07143000000001,60.349998,15803200
NFLX,20140611,60.74714300000001,61.799999,60.714287,61.42856999999999,13745900
NFLX,20140610,60.78856999999999,62.291428,60.717144,61.184284,22920100
NFLX,20140609,61.35714300000001,61.521427,60.012856000000006,60.44142900000001,16678900
NFLX,20140606,61.43,62.127143999999994,61.194286,61.447143999999994,15730400
NFLX,20140605,60.535713,61.342856999999995,59.795715,61.192856000000006,18930800
NFLX,20140604,59.537144,60.64285699999999,59.042857999999995,60.458572,17432800
NFLX,20140603,59.998573,60.799999,59.578571,59.652859,17133200
NFLX,20140602,59.925713,60.415714,58.92856999999999,60.294284999999995,20480600
NFLX,20140530,59.311428,60.248573,58.80143,59.689999,29248800
NFLX,20140529,57.628570999999994,59.42714300000001,57.078571,59.314285,22844500
NFLX,20140528,56.742858999999996,57.885715000000005,56.214287,57.32,19873700
NFLX,20140527,57.42856999999999,57.459998999999996,56.164288,56.972857999999995,26735100
NFLX,20140523,55.94857,57.495716,55.665714,57.478573,22122100
NFLX,20140522,55.84,56.785713,55.35714300000001,55.971428,33222700
NFLX,20140521,53.58857,55.812858999999996,53.335712,55.799999,39939900
NFLX,20140520,52.144287,53.242858999999996,51.771427,53.095715000000006,28828100
NFLX,20140519,49.57143,52.459998999999996,49.507141,52.07143,25393200
NFLX,20140516,49.352856,49.995715999999994,48.548573,49.982857,19072200
NFLX,20140515,50.121429,50.255714000000005,48.482857,49.169998,23370200
NFLX,20140514,49.578571000000004,50.628571,49.437141,50.268570000000004,19891900
NFLX,20140513,49.207142,50.610001000000004,48.677143,49.591427,20832000
NFLX,20140512,47.265713,49.361427,47.217144,49.349998,21395500
NFLX,20140509,46.011429,47.134285,45.335712,46.935715,17968300
NFLX,20140508,45.308571,47.388573,44.908573,45.951427,21168700
NFLX,20140507,46.59,46.834286,45.029999,45.791428,25680900
NFLX,20140506,49.102856,49.674285999999995,46.52,46.598572,22722700
NFLX,20140505,48.295715,49.354286,48.014286,49.197144,20330800
NFLX,20140502,48.215714,49.128571,47.721428,48.664288,26194700
NFLX,20140501,46.292858,49.384285,46.150002,48.074287,37001300
NFLX,20140430,45.417141,46.057144,44.32143,46.005714000000005,23618700
NFLX,20140429,44.605713,46.375713,44.575714000000005,45.695713,23132900
NFLX,20140428,45.435715,45.842857,42.785713,44.887142,47123300
NFLX,20140425,48.208572,48.772858,46.0,46.011429,33071500
NFLX,20140424,50.357143,50.842857,47.828571000000004,49.152859,30639000
NFLX,20140423,51.818573,52.5,50.42857,50.5,40285000
NFLX,20140422,53.804287,54.41143,52.118572,53.271427,64702400
